"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&rowsPerPage%3D75%26queryText%3D%28%22software+architectur*%22+AND+%28%28HCI+OR+%22Human-Computer+Interaction%22+OR+%22Human+Computer+Interaction%22%29+OR+%28HMI+OR+%22Human-Machine+Interaction%22+OR+%22Human+Machine+Interaction%22%29%29%29",2017/05/04 16:53:42
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"EMG and visual based HMI for hands-free control of an intelligent wheelchair","L. Wei; H. Hu","School of Computer Science & Electronic Engineering, University of Essex, Wivenhoe Park, Colchester CO4 3SQ, United Kingdom","2010 8th World Congress on Intelligent Control and Automation","20100823","2010","","","1027","1032","This paper presents a new human-machine interaction (HMI) method designed for hands-free control of electric wheelchairs. Both forehead electromyography (EMG) signals and color face image information is jointly used to identify winking and jaw clenching movements. Five winking and jaw clenching movement patterns are selected and classified, mapping into five control commands to drive a simulated wheelchair in an office environment. Six subjects participated in the experiments and the result shows that this new control method can work well and reliably.","","DVD:978-1-4244-6711-2; Electronic:978-1-4244-6712-9; POD:978-1-4244-6710-5","10.1109/WCICA.2010.5554766","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5554766","Adaboost;Boosting;EMG;Eye Close Detection;Face Detection;Haar Features;SVMs;Wheelchair Controller","Electromyography;Face;Feature extraction;Humans;Muscles;Training;Wheelchairs","electric vehicles;electromyography;face recognition;human computer interaction;image classification;image colour analysis;medical image processing;wheelchairs","EMG signals;HMI;color face image information;electromyography;hands-free control;human-machine interaction;intelligent wheelchair","","4","","16","","","7-9 July 2010","","IEEE","IEEE Conference Publications"
"Reduction of complexity for the analysis of human-machine-interaction","D. Gamrad; D. Söffker","Chair of Dynamics and Control, University of Duisburg-Essen, Duisburg, Germany","2009 IEEE International Conference on Systems, Man and Cybernetics","20091204","2009","","","1263","1268","In this contribution, a concept and principal realization of an additional module within a proposed HMI analysis architecture is developed. The main aspect of this module is the reduction of complexity allowing the analysis of a Human-Machine-System. Core of the architecture is an action model, which is methodical founded on Situation-Operator-Modeling. The action model describes the interaction within a Human-Machine-System and is implemented by high-level Petri Nets. From the Petri-Net-model a state space can be generated to analyze the interaction between a human operator and the environment (in general assumed as machine). The definition of the situation representing the considered part of the real world influences the size of the state space significantly. This contribution realizes the implementation of a size-variable situation vector to reduce the complexity of the considered system. The functionality of the extended architecture is illustrated by the interaction of a human operator with an arcade game.","1062-922X;1062922X","POD:978-1-4244-2793-2","10.1109/ICSMC.2009.5345910","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5345910","Man-machine systems;Petri nets;State space methods","Animals;Control systems;Cybernetics;Humans;Layout;Petri nets;Psychology;State-space methods;USA Councils;Visualization","Petri nets;computer games;human computer interaction;state-space methods","HMI analysis architecture;Petri nets;arcade game;complexity reduction;human-machine-interaction;human-machine-system;situation-operator-modeling;size-variable situation vector","","2","","15","","","11-14 Oct. 2009","","IEEE","IEEE Conference Publications"
"Automatic Optimal View Selection for Natural HCI","Y. P. Guan","Sch. of Commun. & Inf. Eng., Shanghai Univ., Shanghai, China","2009 2nd International Congress on Image and Signal Processing","20091030","2009","","","1","5","Multiple cameras can be used to detect a certain object in a wide area so that users can freely move inside a wider interaction environment. One key problem is how to select the most appropriate camera with better view to perform a natural human-machine-interaction (HCI). An unsupervised scheme is developed for a best view selection. Face skin information is explicitly employed as view quality. The proposed view measurement has been defined which facilitates the system to select the most appropriate camera automatically. The proposal overcomes the effects of camera view directions and the distances between the user and the camera in selecting the best view. The approach is tested with different face databases and an actual interaction environment which shows that it is flexible and computational cost-effective. Experiments have highlighted that the mentioned method is robust and efficient when selecting the best view in a multi-camera system.","","POD:978-1-4244-4129-7","10.1109/CISP.2009.5305311","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5305311","","Cameras;Computational efficiency;Databases;Face detection;Human computer interaction;Object detection;Proposals;Robustness;Skin;Testing","cameras;face recognition;man-machine systems;skin","automatic optimal view selection;face skin information;human-machine-interaction;multi-camera system;multiple cameras;view measurement;view quality","","2","","23","","","17-19 Oct. 2009","","IEEE","IEEE Conference Publications"
"Three-Dimensional Face Pose Detection and Tracking Using Monocular Videos: Tool and Application","F. Dornaika; B. Raducanu","Inst. Geographique Nat., St. Mande","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics)","20090526","2009","39","4","935","944","Recently, we have proposed a real-time tracker that simultaneously tracks the 3D head pose and facial actions in monocular video sequences that can be provided by low quality cameras. This paper has two main contributions. First, we propose an automatic 3-D face pose initialization scheme for the real-time tracker by adopting a 2-D face detector and an eigenface system. Second, we use the proposed methods-the initialization and tracking-for enhancing the human-machine interaction functionality of an AIBO robot. More precisely, we show how the orientation of the robot's camera (or any active vision system) can be controlled through the estimation of the user's head pose. Applications based on head-pose imitation such as telepresence, virtual reality, and video games can directly exploit the proposed techniques. Experiments on real videos confirm the robustness and usefulness of the proposed methods.","1083-4419;10834419","","10.1109/TSMCB.2008.2009566","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4804692","3-D head-pose estimation;AIBO robot;face detection;human–computer interaction (HCI);real-time 3-D head-pose tracking","","cameras;face recognition;human computer interaction;image sequences;mobile robots;pose estimation;robot vision;tracking;video signal processing","3D face pose detection;3D head pose estimation;AIBO robot;eigenface system;human-machine interaction functionality;monocular video sequence tracking;robot camera","Algorithms;Artificial Intelligence;Face;Humans;Image Processing, Computer-Assisted;Models, Statistical;Pattern Recognition, Automated;Posture;Principal Component Analysis;Robotics;Video Recording;Visual Fields","6","","28","","20090324","Aug. 2009","","IEEE","IEEE Journals & Magazines"
"Gesture Based English Character Recognition for Human Machine Interaction in Interactive Set Top Box Using Multi-factor Analysis","T. Chattopadhyay; P. Biswas; B. Saha; A. Pal","Convergence Solution Practices, Tata Consultancy Services Ltd., Kolkata","2008 Sixth Indian Conference on Computer Vision, Graphics & Image Processing","20090120","2008","","","134","141","In this paper authors have presented a novel approach for human machine interaction (HMI) that can be used to give alphabets as input to Internet browser in an interactive Set top box with this added facility. The device is designed with a MEMS sensor which can be worn on fingertip to send alphabetical input to an interactive set top box. Users write the English alphabet in capital letter by just using the sensor attached to their hand. Then this data is undergone some filtering and finally it is sent to the recognition module. The features used for recognition consists of chain code based and un-directional un-weighted graph based features. Each of them recognizes the input character with some confidence factor lying in the closed interval (0,1). Final decision about the recognized character is made by using multifactorial approach. We get a recognition accuracy of more than 90%. We have tested the system with the inputs given by 22 users (16 male and 6 female) each of the user is asked to write the each letter 5 times.","","CD-ROM:978-0-7695-3476-3","10.1109/ICVGIP.2008.11","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4756062","Gesture recognition;HMI;STB;character recognition","Character recognition;Computer graphics;Computer vision;Handicapped aids;Hidden Markov models;Humans;Internet;Keyboards;Mice;TV","character recognition;gesture recognition;graph theory;human computer interaction;interactive devices;microsensors;online front-ends","Internet browser;MEMS sensor;data filtering;data recognition;gesture-based English character recognition;human machine interaction;multifactor analysis;set top box","","4","","29","","","16-19 Dec. 2008","","IEEE","IEEE Conference Publications"
"An investigation on Operator interface of Utility Vehicle based on Multi-discipline fusion design","Lianlian Cui; Zheng Yang","School of Urban Design, Wuhan University, Hubei, China","2008 9th International Conference on Computer-Aided Industrial Design and Conceptual Design","20081230","2008","","","124","127","Combined with the actual design of the operator interface of Utility Vehicle, this paper analyzes Interface Design in Industrial Design from various aspects. Based on the full survey and research work of the design background and the market, the essay analyses the theories of all kinds, such as shape, function, ergonomic, as well as color in the using and operation of the operator interface design with the help of interface design theory. Directed towards the specific design of operator interface of Utility Vehicle, this paper puts forward the integrated design of different subjects, which include ergonomics, color science, functional theory, psychology, and etc, making a breakthrough concerned about the traditional theory that attributing human factors to the ergonomics. Therefore, we can not only make Interface Design reflect Human-Machine performance and meet the practical requirements of HMI operation, and also expand the design factors to the psychological, spiritual areas.","","CD-ROM:978-1-4244-3291-2; POD:978-1-4244-3290-5","10.1109/CAIDCD.2008.4730534","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4730534","Interface Design;Multi-discipline fusion design;Operator Interface;Utility Vehicle","Art;Color;Computer industry;Ergonomics;Man machine systems;Product design;Psychology;Shape;User interfaces;Vehicles","automobiles;human computer interaction;product design;user interfaces","car;color science;ergonomics;functional theory;human-machine interaction;industrial design;multidiscipline fusion design;psychology;utility vehicle operator interface","","0","","12","","","22-25 Nov. 2008","","IEEE","IEEE Conference Publications"
"Does multimodality really help? the classification of emotion and of On/Off-focus in multimodal dialogues - two case studies.","E. Noth; C. Hacker; A. Batliner","Lehrstuhl f&#252;r Mustererkennung, Universit&#228;t Erlangen-N&#252;rnberg, Martensstr. 3, 91058, Germany","ELMAR 2007","20080104","2007","","","9","16","Very often in articles on monomodal human-machine-interaction (HMI) it is pointed out that the results can strongly be improved if other modalities are taken into account. In this contribution we look at two different problems in HMI: the detection of emotion or user state and the question whether the user is currently interacting with the machine, himself or another person (On/Off-Focus). We present monomodal classification results for these two problems and discuss whether multimodal classification seems to be promising for the respective problem. Different fusion models are considered. The examples are taken from the German HMI projects ""SmartKom"" and ""SmartWeb"".","1334-2630;13342630","POD:978-953-7044-05-3","10.1109/ELMAR.2007.4418790","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4418790","Multimodal Human Machine Interaction","Cities and towns;Computer hacking;Displays;Graphics;Humans;Labeling;Microphones;Motion pictures;Speech synthesis;Telephony","human computer interaction;human factors","emotion detection;fusion models;monomodal classification;monomodal human-machine-interaction;multimodality","","1","","14","","","12-14 Sept. 2007","","IEEE","IEEE Conference Publications"
"HMI generation for plug-in services from semantic descriptions","A. Hildisch; J. Steurer; R. Stolle","BMW Car IT GmbH","Software Engineering for Automotive Systems, 2007. ICSE Workshops SEAS '07. Fourth International Workshop on","20070611","2007","","","4","4","We describe our implemented approach to automatically generating user interfaces (UIs) for dynamic services in the automotive domain. Dynamic services are services that are not known at design/deploy time of the HMI (human machine interaction) software of the automobile. Such services will increasingly find their way into the modern car: via mobile consumer electronics, via online servers, or via software download. In order for the driver to safely and comfortably interact with these services, their user interfaces need to be seamlessly integrated into the overall HMI system of the car and resemble the look and feel of the statically deployed HMI system. In the approach described in this paper, each service is accompanied by a description of its semantics, based on which a generic UI generator then automatically designs an appropriate UI and integrates it into the existing HMI system. We use OWL to formulate the domain-specific ontology of automotive infotainment services and OWLS to describe the service interfaces. In order to be able to express listener/notification semantics, we extended OWLS by several new constructs. Our results are based on our implementation of a UI generator for an automotive infotainment system, using the typical BMW Group HMI concepts.","","POD:0-7695-2968-2","10.1109/SEAS.2007.6","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228591","","Automobiles;Automotive engineering;Concrete;Consumer electronics;Humans;OWL;Semantic Web;Software systems;User interfaces;Vehicle dynamics","automotive engineering;human computer interaction;user interfaces","HMI generation;OWLS;UI generator;automotive domain;automotive infotainment services;domain-specific ontology;dynamic services;human machine interaction;listener/notification semantics;plug-in services;semantic descriptions;user interfaces","","2","","11","","","20-26 May 2007","","IEEE","IEEE Conference Publications"
"Haptic/graphic interface for in-vehicle comfort functions - a simulator study and an experimental study","P. Bengtsson; C. Grane; J. Isaksson","Lulea Univ. of Technol., Sweden","The 2nd IEEE Internatioal Workshop on Haptic, Audio and Visual Environments and Their Applications, 2003. HAVE 2003. Proceedings.","20031110","2003","","","25","29","In today's vehicles, the human-machine interaction (HMI) is becoming increasingly complex. The number of in-vehicle comfort functions is increasing as are the number of maneuverable buttons in the vehicle. Haptic interfaces for in-vehicle functions are now commercially available. Thus, haptic interfaces are a realistic approach to an aesthetically and ergonomically improved HMI. That is, without increasing the visual load on the driver. However, as often is the case with new technologies, some haptic interfaces might have been put into operation before being studied and evaluated sufficiently, e.g. being potentially ""safety critical"". The objective of this paper is to contribute in bridging the gulf between application and research concerning implementation of haptic interfaces for in-vehicle comfort functions. Two studies are reported in the paper. Firstly, a simulator study where a haptic/graphic interface is evaluated against a traditional interface with maneuverable buttons for in-vehicle comfort functions. Secondly, an experimental study that still is in the planning phase. The study aims at investigating the interaction effects between haptic and visual feedback in a haptic/graphic interface.","","POD:0-7803-8108-4","10.1109/HAVE.2003.1244720","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1244720","","Cellular phones;Feedback;Graphics;Haptic interfaces;Interference;Man machine systems;Roads;Safety;Vehicles;Visual perception","graphical user interfaces;haptic interfaces;human computer interaction;road vehicles","graphic interface;haptic interface;human-machine interaction;in-vehicle comfort functions;maneuverable buttons;visual feedback;visual load","","5","","9","","","20-21 Sept. 2003","","IEEE","IEEE Conference Publications"
"Study on developing a computerized model of human cognitive behaviors in monitoring and diagnosing plant transients","W. Wu; H. Yoshikawa","Graduate Sch. of Energy Sci., Kyoto Univ., Japan","Systems, Man, and Cybernetics, 1998. 1998 IEEE International Conference on","20020806","1998","2","","1121","1126 vol.2","A computerized model of human cognitive behavior in monitoring and diagnosing plant transient has been developed as a part of integrated simulation system of human-machine interaction (HCI) in nuclear power plant. The general framework used of human modeling is first described, followed by the description of detailed modeling of both the monitoring and diagnosing phases. For the usability validation of the developed human modeling, computer simulation experiments have been conducted to deduce human cognitive reliability curves, by connecting the computerized model of human cognitive information processing with the dynamic simulator of nuclear power plant through man-machine interface simulator. The results of computer simulation were well agreed with those of laboratory experiments","1062-922X;1062922X","POD:0-7803-4778-1","10.1109/ICSMC.1998.727848","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=727848","","Computational modeling;Computer interfaces;Computer simulation;Computerized monitoring;Human computer interaction;Joining processes;Man machine systems;Power generation;Power system modeling;Usability","computerised monitoring;digital simulation;fault diagnosis;man-machine systems;nuclear power stations;user modelling","computerized model;dynamic simulator;fault diagnosis;human cognitive behaviors;human-machine interaction;man-machine interface;monitoring;nuclear power plant;plant transient","","3","","10","","","11-14 Oct 1998","11 Oct 1998-14 Oct 1998","IEEE","IEEE Conference Publications"
"Human-computer interaction in flatness control-an intranet-based approach","G. Fodor; L. E. Mattsson; J. Mortstrand; C. Sjogren; O. Keijser; J. E. Karlsson","ABB Ind. Products, Vasteras, Sweden","Systems, Man, and Cybernetics, 1998. 1998 IEEE International Conference on","20020806","1998","2","","1323","1328 vol.2","Intranet information servers are increasingly used for human-machine interaction (HMI) in real-time control applications. As compared to office-based applications, industrial HMI servers give rise to specific questions regarding the compatibility of the intranet architecture with the traditional real-time architecture and services. This paper presents results following practical experience with an intranet HMI interface used for flatness control systems in cold rolling mills. Different aspects of the design approach are illustrated by a working system. The key result reported in the paper is that real-time intranet-based HMI approaches must consider certain constraints for the overall architecture of the control system. The properties of this architecture are described and evaluated practically","1062-922X;1062922X","POD:0-7803-4778-1","10.1109/ICSMC.1998.728066","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=728066","","Access protocols;Actuators;Automatic control;Control systems;Electrical equipment industry;Error correction;Milling machines;Stress measurement;Strips;Transducers","control system synthesis;interactive systems;intranets;process control;real-time systems;rolling mills;search engines;spatial variables control;user interfaces","cold rolling mills;control system architecture constraints;control systems design;flatness control;human-machine interaction;industrial servers;intranet architecture compatibility;intranet information servers;real-time architecture;real-time control;real-time services;user interface","","1","","3","","","11-14 Oct 1998","11 Oct 1998-14 Oct 1998","IEEE","IEEE Conference Publications"
