Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Supporting Adaptable Consistency Control in Structured Collaborative Workspaces","Computer Supported Cooperative Work (CSCW)","","14","5","10.1007/s10606-005-9003-y","YI YANGDU LI","2005","http://link.springer.com/article/10.1007/s10606-005-9003-y","Article"
"Semantic annotation of narrative media objects","Multimedia Tools and Applications","","59","2","10.1007/s11042-011-0813-2","Vincenzo LombardoRossana Damiano","2012","http://link.springer.com/article/10.1007/s11042-011-0813-2","Article"
"A Case Study of Safety in the Design of Surgical Robots: The ARAKNES Platform","Intelligent Autonomous Systems 12","","","","10.1007/978-3-642-33932-5_12","L. A. SanchezM. Q. LeK. RabenorosoaC. LiuN. ZemitiP. PoignetE. DombreA. MenciassiP. Dario","2013","http://link.springer.com/chapter/10.1007/978-3-642-33932-5_12","Chapter"
"A Case Study of Safety in the Design of Surgical Robots: The ARAKNES Platform","Frontiers of Intelligent Autonomous Systems","","","","10.1007/978-3-642-35485-4_27","L. Alonso SanchezM. Q. LeK. RabenorosoaC. LiuN. ZemitiP. PoignetE. DombreA. MenciassiP. Dario","2013","http://link.springer.com/chapter/10.1007/978-3-642-35485-4_27","Chapter"
"Care-O-bot II—Development of a Next Generation Robotic Home Assistant","Autonomous Robots","","16","2","10.1023/B:AURO.0000016865.35796.e9","Birgit GrafMatthias HansRolf D. Schraft","2004","http://link.springer.com/article/10.1023/B%3AAURO.0000016865.35796.e9","Article"
"Computing and Evaluating the Body Laughter Index","Human Behavior Understanding","","","","10.1007/978-3-642-34014-7_8","Maurizio ManciniGiovanna VarniDonald GlowinskiGualtiero Volpe","2012","http://link.springer.com/chapter/10.1007/978-3-642-34014-7_8","Chapter"
"Behavioral overlays for non-verbal communication expression on a humanoid robot","Autonomous Robots","","22","1","10.1007/s10514-006-9005-8","Andrew G. BrooksRonald C. Arkin","2007","http://link.springer.com/article/10.1007/s10514-006-9005-8","Article"
"Smart Playing Cards: A Ubiquitous Computing Game","Personal and Ubiquitous Computing","","6","5 - 6","10.1007/s007790200042","Kay RömerSvetlana Domnitcheva","2002","http://link.springer.com/article/10.1007/s007790200042","Article"
"From object-process analysis to object-process design","Annals of Software Engineering","","2","1","10.1007/BF02063805","Dov DoriMoshe Goodman","1996","http://link.springer.com/article/10.1007/BF02063805","Article"
"Novel devices and interaction techniques for human-scale haptics","The Visual Computer","","23","4","10.1007/s00371-007-0100-4","Lionel DominjonJérôme PerretAnatole Lécuyer","2007","http://link.springer.com/article/10.1007/s00371-007-0100-4","Article"
"The affect of contact force sensations on user performance in virtual assembly tasks","Virtual Reality","","11","4","10.1007/s10055-007-0075-5","Samir GarbayaU. Zaldivar-Colado","2007","http://link.springer.com/article/10.1007/s10055-007-0075-5","Article"
"Patterns for design in microtechnology","Microsystem Technologies","","16","8 - 9","10.1007/s00542-010-1042-8","Albert AlbersTobias DeigendeschTarak TurkiTobias Müller","2010","http://link.springer.com/article/10.1007/s00542-010-1042-8","Article"
"Organizational Control Reconfigurations for a Robust Smart Power Grid","Internet of Things and Inter-cooperative Computational Technologies for Collective Intelligence","","","","10.1007/978-3-642-34952-2_8","Evangelos PournarasMark YaoRon AmbrosioMartijn Warnier","2013","http://link.springer.com/chapter/10.1007/978-3-642-34952-2_8","Chapter"
"Light-Weight Distributed Web Interfaces: Preparing the Web for Heterogeneous Environments","Web Engineering","","","","10.1007/11531371_28","Chris VandervelpenGeert VanderhulstKris LuytenKarin Coninx","2005","http://link.springer.com/chapter/10.1007/11531371_28","Chapter"
"Interface Mutation Test Adequacy Criterion: An Empirical Evaluation","Empirical Software Engineering","","6","2","10.1023/A:1011429104252","MÁrcio Eduardo DelamaroJosÉ Carlos MaldonadoAlberto PasquiniAditya P. Mathur","2001","http://link.springer.com/article/10.1023/A%3A1011429104252","Article"
"Old problems are still there: robot intelligence as the interplay between many components of complex architectures","Intelligent Service Robotics","","5","4","10.1007/s11370-012-0121-3","Fulvio MastrogiovanniNak Young Chong","2012","http://link.springer.com/article/10.1007/s11370-012-0121-3","Article"
"Cooperative image workstation based on explicit models of diagnostic information requirements","Journal of Digital Imaging","","5","4","10.1007/BF03167804","Thomas Wendler PhDRüdiger GrewerKarl J. MönnichJoachim SchmidtHeino Svensson","1992","http://link.springer.com/article/10.1007/BF03167804","Article"
"Multi-Agent Architectures as Organizational Structures","Autonomous Agents and Multi-Agent Systems","","13","1","10.1007/s10458-006-5717-6","Manuel KolpPaolo GiorginiJohn Mylopoulos","2006","http://link.springer.com/article/10.1007/s10458-006-5717-6","Article"
"Pedagogy-Driven Design of Digital Learning Ecosystems: The Case Study of Dippler","Advances in Web-Based Learning - ICWL 2012","","","","10.1007/978-3-642-33642-3_33","Mart LaanpereKai PataPeeter NormakHans Põldoja","2012","http://link.springer.com/chapter/10.1007/978-3-642-33642-3_33","Chapter"
"Real-time tracking of humans and visualization of their future footsteps in public indoor environments","Multimedia Tools and Applications","","59","1","10.1007/s11042-010-0691-z","Ovgu OzturkTomoaki MatsunamiYasuhiro SuzukiToshihiko YamasakiKiyoharu Aizawa","2012","http://link.springer.com/article/10.1007/s11042-010-0691-z","Article"
"Real-time control architecture using Xenomai for intelligent service robots in USN environments","Intelligent Service Robotics","","2","3","10.1007/s11370-009-0040-0","Byoung Wook ChoiDong Gwan ShinJeong Ho ParkSoo Yeong YiSeet Gerald","2009","http://link.springer.com/article/10.1007/s11370-009-0040-0","Article"
"New Control Architecture Based on PXI for a 3-Finger Haptic Device Applied to Virtual Manipulation","Haptics: Perception, Devices, Mobility, and Communication","","","","10.1007/978-3-642-31401-8_11","Ignacio GalianaJose BreñosaJorge BarrioManuel Ferre","2012","http://link.springer.com/chapter/10.1007/978-3-642-31401-8_11","Chapter"
"On Policies and Intents","Information Systems Security","","","","10.1007/978-3-642-35130-3_8","Matthew L. BoltonCeleste M. WallaceLenore D. Zuck","2012","http://link.springer.com/chapter/10.1007/978-3-642-35130-3_8","Chapter"
"Toward a Learning Technologies knowledge network","Educational Technology Research and Development","","47","2","10.1007/BF02299463","Roy D. PeaRobert TinkerMarcia LinnBarbara MeansJohn BransfordJeremy RoschelleSherry HsiSean BrophyNancy Songer","1999","http://link.springer.com/article/10.1007/BF02299463","Article"
"Using Geo-collaboration and Microblogging to Support Learning: Identifying Problems and Opportunities for Technological Business","Collaboration and Technology","","","","10.1007/978-3-642-41347-6_16","Gustavo ZuritaNelson Baloian","2013","http://link.springer.com/chapter/10.1007/978-3-642-41347-6_16","Chapter"
"The need for a research agenda in intelligent robotics","Intelligent Service Robotics","","6","1","10.1007/s11370-012-0127-x","Fulvio MastrogiovanniNak Young Chong","2013","http://link.springer.com/article/10.1007/s11370-012-0127-x","Article"
"Standards and Safety Aspects for Medical Electrical Devices in the Field of Neurorehabilitation","Neurorehabilitation Technology","","","","10.1007/978-1-4471-2277-7_25","Burkhard Zimmermann","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2277-7_25","Chapter"
"Smart Car Space: An Application","SmartShadow: Models and Methods for Pervasive Computing","","","","10.1007/978-3-642-36382-5_6","Zhaohui WuGang Pan","2013","http://link.springer.com/chapter/10.1007/978-3-642-36382-5_6","Chapter"
"The State of the Art in Text Filtering","User Modeling and User-Adapted Interaction","","7","3","10.1023/A:1008287121180","Douglas W. Oard","1997","http://link.springer.com/article/10.1023/A%3A1008287121180","Article"
"A Quality Model for Mashups","Web Engineering","","","","10.1007/978-3-642-22233-7_10","Cinzia CappielloFlorian DanielAgnes KoschmiderMaristella MateraMatteo Picozzi","2011","http://link.springer.com/chapter/10.1007/978-3-642-22233-7_10","Chapter"
"Context-aware cross-layer optimized video streaming in wireless multimedia sensor networks","The Journal of Supercomputing","","54","1","10.1007/s11227-009-0321-6","Lei ShuYan ZhangZhiwen YuLaurence T. YangManfred HauswirthNaixue Xiong","2010","http://link.springer.com/article/10.1007/s11227-009-0321-6","Article"
"Refinement of Pipe-and-Filter Architectures","FM’99 — Formal Methods","","","","10.1007/3-540-48119-2_8","Jan PhilippsBernhard Rumpe","1999","http://link.springer.com/chapter/10.1007/3-540-48119-2_8","Chapter"
"Pervasive Sensing and M-Health: Vital Signs and Daily Activity Monitoring","Pervasive and Mobile Sensing and Computing for Healthcare","","","","10.1007/978-3-642-32538-0_1","Octavian PostolachePedro Silva GirãoGabriela Postolache","2013","http://link.springer.com/chapter/10.1007/978-3-642-32538-0_1","Chapter"
"Agile Software Development and the Barriers to Transfer of Knowledge: An Interpretive Case Study","Nordic Contributions in IS Research","","","","10.1007/978-3-642-39832-2_2","Lise HeeagerPeter Axel Nielsen","2013","http://link.springer.com/chapter/10.1007/978-3-642-39832-2_2","Chapter"
"Wireless video sensor networks for sparse, resource-constrained, multi-robot teams","Intelligent Service Robotics","","2","4","10.1007/s11370-009-0053-8","Richard M. VoylesJaewook BaeAmy C. LarsonMustafa A. Ayad","2009","http://link.springer.com/article/10.1007/s11370-009-0053-8","Article"
"A Digital Library Built Around the Information-Content Model Duality","The Outreach of Digital Libraries: A Globalized Resource Network","","","","10.1007/978-3-642-34752-8_36","Hernán AstudilloCarlos Becerra","2012","http://link.springer.com/chapter/10.1007/978-3-642-34752-8_36","Chapter"
"Usability Testing of Voice Controlled Messaging","International Journal of Speech Technology","","5","4","10.1023/A:1020961025186","Matthew Yuschik","2002","http://link.springer.com/article/10.1023/A%3A1020961025186","Article"
"Optimizing Mobile Application Performance with Model–Driven Engineering","Software Technologies for Embedded and Ubiquitous Systems","","","","10.1007/978-3-642-10265-3_4","Chris ThompsonJules WhiteBrian DoughertyDouglas C. Schmidt","2009","http://link.springer.com/chapter/10.1007/978-3-642-10265-3_4","Chapter"
"An evaluation space for open architecture controllers","The International Journal of Advanced Manufacturing Technology","","26","4","10.1007/s00170-004-2111-x","Chi Yonglin","2005","http://link.springer.com/article/10.1007/s00170-004-2111-x","Article"
"An Experience in Testing an Object-Oriented Satellite Control System","Software Quality Journal","","8","4","10.1023/A:1008926004569","Ana Maria AmbrosioLuciana Seda C. GonçalvesPaulo Eduardo Cardoso","1999","http://link.springer.com/article/10.1023/A%3A1008926004569","Article"
"The Role of Shapers in Knowledge-Sharing","Virtuality and Virtualization","","","","10.1007/978-0-387-73025-7_28","Ann MajchrzakChris WagnerDirk RiehlePeter ThoenySunir ShahWard Cunningham","2007","http://link.springer.com/chapter/10.1007/978-0-387-73025-7_28","Chapter"
"Notes on Synthesis of Context between Engineering and Social Science","Modeling and Using Context","","","","10.1007/978-3-642-40972-1_12","Ziyad AlshaikhClive Boughton","2013","http://link.springer.com/chapter/10.1007/978-3-642-40972-1_12","Chapter"
"Cognitive Semantic Categories as a Basis for a Prototype Adaptive Information System","Semantic Models for Adaptive Interactive Systems","","","","10.1007/978-1-4471-5301-6_3","Evangelos KaprosSimon McGinnes","2013","http://link.springer.com/chapter/10.1007/978-1-4471-5301-6_3","Chapter"
"Context-aware smart car: from model to prototype","Journal of Zhejiang University-SCIENCE A","","10","7","10.1631/jzus.A0820154","Jie SunZhao-hui WuGang Pan","2009","http://link.springer.com/article/10.1631/jzus.A0820154","Article"
"Introduction","Immersive Multimodal Interactive Presence","","","","10.1007/978-1-4471-2754-3_1","Christos D. GiachritsisAngelika Peer","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2754-3_1","Chapter"
"An Adaptive Concurrency Control QOS Agent for Ubiquitous Computing Environments","Emerging Directions in Embedded and Ubiquitous Computing","","","","10.1007/11807964_57","Eung Nam Ko","2006","http://link.springer.com/chapter/10.1007/11807964_57","Chapter"
"A model to design interactive learning environments for children with visual disabilities","Education and Information Technologies","","12","3","10.1007/s10639-007-9039-3","Jaime Sánchez","2007","http://link.springer.com/article/10.1007/s10639-007-9039-3","Article"
"Towards a Framework for Ubiquitous Computing Technologies: Analyzing Users’ Values Using Value Focused Thinking Approach","Computer Applications for Software Engineering, Disaster Recovery, and Business Continuity","","","","10.1007/978-3-642-35267-6_60","Jungwoo LeeMin Sun Kim","2012","http://link.springer.com/chapter/10.1007/978-3-642-35267-6_60","Chapter"
"Affordances of Augmented Reality in Science Learning: Suggestions for Future Research","Journal of Science Education and Technology","","22","4","10.1007/s10956-012-9405-9","Kun-Hung ChengChin-Chung Tsai","2013","http://link.springer.com/article/10.1007/s10956-012-9405-9","Article"
"Combining Goal-Oriented and Problem-Oriented Requirements Engineering Methods","Availability, Reliability, and Security in Information Systems and HCI","","","","10.1007/978-3-642-40511-2_13","Kristian BeckersStephan FaßbenderMaritta HeiselFederica Paci","2013","http://link.springer.com/chapter/10.1007/978-3-642-40511-2_13","Chapter"
"Computer Supported Ubiquitous Learning Environment for Vocabulary Learning Using RFID Tags","Technology Enhanced Learning","","","","10.1007/0-387-24047-0_10","Hiroaki OgataRyo AkamatsuYoneo Yano","2005","http://link.springer.com/chapter/10.1007/0-387-24047-0_10","Chapter"
"Koko: an architecture for affect-aware games","Autonomous Agents and Multi-Agent Systems","","24","2","10.1007/s10458-010-9160-3","Derek J. SollenbergerMunindar P. Singh","2012","http://link.springer.com/article/10.1007/s10458-010-9160-3","Article"
"Selected papers of the ARCS06 conference: an introduction","Personal and Ubiquitous Computing","","12","2","10.1007/s00779-006-0108-1","Werner GrassBernhard SickTheo UngererKlaus Waldschmidt","2008","http://link.springer.com/article/10.1007/s00779-006-0108-1","Article"
"Scenario-Based Methods for Evaluating Collaborative Systems","Computer Supported Cooperative Work (CSCW)","","18","4","10.1007/s10606-009-9095-x","Steven R. HaynesSandeep PuraoAmie L. SkatteboSteven R. Haynes","2009","http://link.springer.com/article/10.1007/s10606-009-9095-x","Article"
"U-Interactive: A Middleware for Ubiquitous Fashionable Computer to Interact with the Ubiquitous Environment by Gestures","Embedded and Ubiquitous Computing","","","","10.1007/978-3-540-77092-3_60","Gyudong ShimSangKwon MoonYong SongJaesub KimKyu Ho Park","2007","http://link.springer.com/chapter/10.1007/978-3-540-77092-3_60","Chapter"
"A Centralized Real-Time Driver Assistance System for Road Safety Based on Smartphone","Advanced Microsystems for Automotive Applications 2012","","","","10.1007/978-3-642-29673-4_20","Andrea CortiVincenzo ManzoniSergio M. SavaresiMario D. SantucciOnorino Di Tanna","2012","http://link.springer.com/chapter/10.1007/978-3-642-29673-4_20","Chapter"
"An Access Control Framework for Reflective Middleware","Journal of Computer Science and Technology","","23","6","10.1007/s11390-008-9188-x","Gang HuangLian-Shan Sun","2008","http://link.springer.com/article/10.1007/s11390-008-9188-x","Article"
"An Extensible Ubiquitous Architecture for Networked Devices in Smart Living Environments","Embedded and Ubiquitous Computing – EUC 2005 Workshops","","","","10.1007/11596042_3","Thierry BodhuinGerardo CanforaRosa PreziosiMaria Tortorella","2005","http://link.springer.com/chapter/10.1007/11596042_3","Chapter"
"Component-based design for SCADA architecture","International Journal of Control, Automation and Systems","","8","5","10.1007/s12555-010-0523-y","Phan Duy AnhTruong Dinh Chau","2010","http://link.springer.com/article/10.1007/s12555-010-0523-y","Article"
"Virtues in Participatory Design: Cooperation, Curiosity, Creativity, Empowerment and Reflexivity","Science and Engineering Ethics","","19","3","10.1007/s11948-012-9380-9","Marc Steen","2013","http://link.springer.com/article/10.1007/s11948-012-9380-9","Article"
"Resolving Platform Specific Models at Runtime Using an MDE-Based Trading Approach","On the Move to Meaningful Internet Systems: OTM 2013 Workshops","","","","10.1007/978-3-642-41033-8_36","Javier CriadoLuis IribarneNicolás Padilla","2013","http://link.springer.com/chapter/10.1007/978-3-642-41033-8_36","Chapter"
"TAGUS — A user and learner modeling workbench","User Modeling and User-Adapted Interaction","","4","3","10.1007/BF01100244","Ana PaivaJohn Self","1994","http://link.springer.com/article/10.1007/BF01100244","Article"
"A Reference Architecture for Group-Context-Aware Mobile Applications","Mobile Computing, Applications, and Services","","","","10.1007/978-3-642-36632-1_3","Grace LewisMarc NovakouskiEnrique Sánchez","2013","http://link.springer.com/chapter/10.1007/978-3-642-36632-1_3","Chapter"
"MARS: Microarray analysis, retrieval, and storage system","BMC Bioinformatics","","6","1","10.1186/1471-2105-6-101","Michael MaurerRobert MolidorAlexander SturnJuergen HartlerHubert HacklGernot StockerAndreas ProkeschMarcel ScheidelerZlatko Trajanoski","2005","http://link.springer.com/article/10.1186/1471-2105-6-101","Article"
"Hierarchical real-time networked CNC system based on the transparent model of industrial Ethernet","The International Journal of Advanced Manufacturing Technology","","34","1 - 2","10.1007/s00170-006-0676-2","X. L. ZhangX. Q. TangJ. H. ChenH. C. ZhouT. Wu","2007","http://link.springer.com/article/10.1007/s00170-006-0676-2","Article"
"Object Tracking AAL Application and Behaviour Modelling for the Elderly and Visually Impaired","Evolving Ambient Intelligence","","","","10.1007/978-3-319-04406-4_8","Dimitris M. KyriazanosGeorge E. VastianosOlga E. SegouStelios C. A. Thomopoulos","2013","http://link.springer.com/chapter/10.1007/978-3-319-04406-4_8","Chapter"
"Variety in Views of University Curriculum Schemes for Informatics / Computing / ICT","Informatics Curricula and Teaching Methods","","","","10.1007/978-0-387-35619-8_11","Fred MulderKarel LemmenMaarten van Veen","2003","http://link.springer.com/chapter/10.1007/978-0-387-35619-8_11","Chapter"
"Characterizing Key Developers: A Case Study with Apache Ant","Collaboration and Technology","","","","10.1007/978-3-642-33284-5_8","Gustavo A. OlivaFrancisco W. SantanaKleverton C. M. de OliveiraCleidson R. B. de SouzaMarco A. Gerosa","2012","http://link.springer.com/chapter/10.1007/978-3-642-33284-5_8","Chapter"
"Reconfiguration Mechanisms for Service Coordination","Web Services and Formal Methods","","","","10.1007/978-3-642-38230-7_9","Nuno OliveiraLuís S. Barbosa","2013","http://link.springer.com/chapter/10.1007/978-3-642-38230-7_9","Chapter"
"Passive internet-based crane teleoperation with haptic aids","International Journal of Control, Automation and Systems","","10","1","10.1007/s12555-012-0109-y","Alejandro F. VillaverdeCesáreo RaimúndezAntonio Barreiro","2012","http://link.springer.com/article/10.1007/s12555-012-0109-y","Article"
"Glocalized cyber physical production systems","Production Engineering","","6","6","10.1007/s11740-012-0418-2","Alexander VerlArmin LechlerJan Schlechtendahl","2012","http://link.springer.com/article/10.1007/s11740-012-0418-2","Article"
"Dynamically Adapting BDI Agents Based on High-Level User Specifications","Advanced Agent Technology","","","","10.1007/978-3-642-27216-5_11","Ingrid NunesMichael LuckSimone Diniz Junqueira BarbosaSimon MilesCarlos J. P. de Lucena","2012","http://link.springer.com/chapter/10.1007/978-3-642-27216-5_11","Chapter"
"Multi-technology Vehicular Cooperative System Based on Software Defined Radio (SDR)","Communication Technologies for Vehicles","","","","10.1007/978-3-642-37974-1_7","Nathalie HazizaMohamed KassabRaymond KnoppJérôme HärriFlorian KaltenbergerPhilippe AgostiniMarion BerbineauChristophe GransartJoëlle BesnierJacques EhrlichHasnaa Aniss","2013","http://link.springer.com/chapter/10.1007/978-3-642-37974-1_7","Chapter"
"Haptic Rendering Methods for Multiple Contact Points","Immersive Multimodal Interactive Presence","","","","10.1007/978-1-4471-2754-3_9","Manuel FerrePablo CerradaJorge BarrioRaul Wirz","2012","http://link.springer.com/chapter/10.1007/978-1-4471-2754-3_9","Chapter"
"Integration of Collaborative Features in Ubiquitous and Context-Aware Systems Using Distributed User Interfaces","Distributed User Interfaces: Usability and Collaboration","","","","10.1007/978-1-4471-5499-0_6","Juan E. GarridoVíctor M. R. PenichetMaría D. Lozano","2013","http://link.springer.com/chapter/10.1007/978-1-4471-5499-0_6","Chapter"
"iCharibot: Design and Field Trials of a Fundraising Robot","Social Robotics","","","","10.1007/978-3-319-02675-6_41","Miguel SarabiaTuan Le MauHarold SohShuto NaruseCrispian PoonZhitian LiaoKuen Cherng TanZi Jian LaiYiannis Demiris","2013","http://link.springer.com/chapter/10.1007/978-3-319-02675-6_41","Chapter"
"An Agent-based Concept for Planning and Control of the Production of Carbon Fibre Reinforced Plastics Aircraft Structures with Mobile Production Units","Automation, Communication and Cybernetics in Science and Engineering 2011/2012","","","","10.1007/978-3-642-33389-7_48","Franz DietrichChristian LöchteSabina JeschkeAnnika Raatz","2013","http://link.springer.com/chapter/10.1007/978-3-642-33389-7_48","Chapter"
"AZ66: How Can We Play with Emotions?","Entertainment Computing – ICEC 2009","","","","10.1007/978-3-642-04052-8_54","Stéphan FromentMélanie GinibreStéphanie MaderAntoine SarafianAymeric SchwartzDelphine SorianoAlexandre TopolJérôme Dupire","2009","http://link.springer.com/chapter/10.1007/978-3-642-04052-8_54","Chapter"
"JACK Revisited: Scaling Up in Multiple Dimensions","Scaling up Learning for Sustained Impact","","","","10.1007/978-3-642-40814-4_88","Michael StrieweMichael Goedicke","2013","http://link.springer.com/chapter/10.1007/978-3-642-40814-4_88","Chapter"
"Development of Software Tool Support for Enterprise Architecture in Small and Medium-Sized Enterprises","Advanced Information Systems Engineering Workshops","","","","10.1007/978-3-642-38490-5_7","Joost DumeezMaxime BernaertGeert Poels","2013","http://link.springer.com/chapter/10.1007/978-3-642-38490-5_7","Chapter"
"Proactive Home Furnishings: Inspiring from Interactive Art for Designing Functional Aesthetics in a Space","Design, User Experience, and Usability. Web, Mobile, and Product Design","","","","10.1007/978-3-642-39253-5_40","Scottie Chih-Chieh Huang","2013","http://link.springer.com/chapter/10.1007/978-3-642-39253-5_40","Chapter"
"An Integrated Approach to Developing Automotive Climate Control Systems","Complex Systems Design & Management","","","","10.1007/978-3-642-34404-6_14","Guillaume BellonclePatrick ChombartBernard Clark","2013","http://link.springer.com/chapter/10.1007/978-3-642-34404-6_14","Chapter"
"Formal Modeling and Analysis of the REST Architecture Using CSP","Web Services and Formal Methods","","","","10.1007/978-3-642-38230-7_6","Xi WuYue ZhangHuibiao ZhuYongxin ZhaoZailiang SunPeng Liu","2013","http://link.springer.com/chapter/10.1007/978-3-642-38230-7_6","Chapter"
"Challenges and Research Directions in Agent-Oriented Software Engineering","Autonomous Agents and Multi-Agent Systems","","9","3","10.1023/B:AGNT.0000038028.66672.1e","Franco ZambonelliAndrea Omicini","2004","http://link.springer.com/article/10.1023/B%3AAGNT.0000038028.66672.1e","Article"
"User Interface Migration between Mobile Devices and Digital TV","Engineering Interactive Systems","","","","10.1007/978-3-540-85992-5_28","Fabio PaternòCarmen SantoroAntonio Scorcia","2008","http://link.springer.com/chapter/10.1007/978-3-540-85992-5_28","Chapter"
"The System Design Life Cycle","CESAR - Cost-efficient Methods and Processes for Safety-relevant Embedded Systems","","","","10.1007/978-3-7091-1387-5_2","Nikolaos PriggourisAdeline SilvaMarkus ShawkyMagnus PerssonVincent IbanezJoseph MachrouhNicola MeledoPhilippe BaufretonJason Mansell Rementeria","2013","http://link.springer.com/chapter/10.1007/978-3-7091-1387-5_2","Chapter"
"Mapping the Information System Development Process","IT Innovation for Adaptability and Competitiveness","","","","10.1007/1-4020-8000-X_9","Richard VidgenSabine MadsenKarlheinz Kautz","2004","http://link.springer.com/chapter/10.1007/1-4020-8000-X_9","Chapter"
"The MANUS-HAND Dextrous Robotics Upper Limb Prosthesis: Mechanical and Manipulation Aspects","Autonomous Robots","","16","2","10.1023/B:AURO.0000016862.38337.f1","J.L. PonsE. RoconR. CeresD. ReynaertsB. SaroS. LevinW. Van Moorleghem","2004","http://link.springer.com/article/10.1023/B%3AAURO.0000016862.38337.f1","Article"
"Ubiquitous Applications over Networked Femtocell","Evolving Ambient Intelligence","","","","10.1007/978-3-319-04406-4_27","Hajer BerhoumaAicha Ben SalemKaouthar Sethom","2013","http://link.springer.com/chapter/10.1007/978-3-319-04406-4_27","Chapter"
"Integrating Component-Based Web Engineering into Content Management Systems","Web Engineering","","","","10.1007/978-3-642-39200-9_6","Stefania LeoneAlexandre de SpindlerMoira C. NorrieDennis McLeod","2013","http://link.springer.com/chapter/10.1007/978-3-642-39200-9_6","Chapter"
"PRACSYS: An Extensible Architecture for Composing Motion Controllers and Planners","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-642-34327-8_15","Andrew KimmelAndrew DobsonZakary LittlefieldAthanasios KrontirisJames MarbleKostas E. Bekris","2012","http://link.springer.com/chapter/10.1007/978-3-642-34327-8_15","Chapter"
"Reconfigurable modular automation systems for automotive power-train manufacture","International Journal of Flexible Manufacturing Systems","","18","3","10.1007/s10696-006-9008-y","R. HarrisonA. W. ColomboA. A. WestS. M. Lee","2006","http://link.springer.com/article/10.1007/s10696-006-9008-y","Article"
"A Hardware-in-the-Loop System for Development of Automotive Battery Management System","Measuring Technology and Mechatronics Automation in Electrical Engineering","","","","10.1007/978-1-4614-2185-6_4","Haifeng DaiXuezhe WeiZechang SunJiayuan Wang","2012","http://link.springer.com/chapter/10.1007/978-1-4614-2185-6_4","Chapter"
"TUMsBendingUnits from TU Munich: RoboCup 2012 Logistics League Champion","RoboCup 2012: Robot Soccer World Cup XVI","","","","10.1007/978-3-642-39250-4_5","Sören JentzschSebastian RiedelSebastian DenzSebastian Brunner","2013","http://link.springer.com/chapter/10.1007/978-3-642-39250-4_5","Chapter"
"Architectural Design of a Compensation Mechanism for Long Lived Transactions","Databases in Networked Information Systems","","","","10.1007/978-3-642-37134-9_4","Shinji Kikuchi","2013","http://link.springer.com/chapter/10.1007/978-3-642-37134-9_4","Chapter"
"A multitasking architecture for humanoid robot programming","Intelligent Service Robotics","","6","3","10.1007/s11370-013-0132-8","Jaeyoung HanFrank Chongwoo Park","2013","http://link.springer.com/article/10.1007/s11370-013-0132-8","Article"
"SwarmSimX: Real-Time Simulation Environment for Multi-robot Systems","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-642-34327-8_34","Johannes LächeleAntonio FranchiHeinrich H. BülthoffPaolo Robuffo Giordano","2012","http://link.springer.com/chapter/10.1007/978-3-642-34327-8_34","Chapter"
"Designing Dippler — A Next-Generation TEL System","Open and Social Technologies for Networked Learning","","","","10.1007/978-3-642-37285-8_10","Mart LaanpereHans PõldojaPeeter Normak","2013","http://link.springer.com/chapter/10.1007/978-3-642-37285-8_10","Chapter"
"A Methodological Outline and Utility Assessment of Sensor-based Biosignal Measurement in Human-Robot Interaction","International Journal of Social Robotics","","4","3","10.1007/s12369-012-0146-y","Wilma A. BainbridgeShunichi NozawaRyohei UedaKei OkadaMasayuki Inaba","2012","http://link.springer.com/article/10.1007/s12369-012-0146-y","Article"
"A Framework for Combining Problem Frames and Goal Models to Support Context Analysis during Requirements Engineering","Availability, Reliability, and Security in Information Systems and HCI","","","","10.1007/978-3-642-40511-2_19","Nazila Gol MohammadiAzadeh AlebrahimThorsten WeyerMaritta HeiselKlaus Pohl","2013","http://link.springer.com/chapter/10.1007/978-3-642-40511-2_19","Chapter"
"Towards an Assistive Mobile Manipulator","Robot Physical Interaction through the combination of Vision, Tactile and Force Feedback","","","","10.1007/978-3-642-33241-8_8","Mario PratsAngel P. del PobilPedro J. Sanz","2013","http://link.springer.com/chapter/10.1007/978-3-642-33241-8_8","Chapter"
"Adaptable Context-Aware Micro-architecture","Grid and Pervasive Computing Workshops","","","","10.1007/978-3-642-27916-4_14","Susanna Pantsar-Syväniemi","2012","http://link.springer.com/chapter/10.1007/978-3-642-27916-4_14","Chapter"
"An agent-based concept for planning and control of the production of carbon fibre reinforced plastics aircraft structures with mobile production units","Production Engineering","","6","4 - 5","10.1007/s11740-012-0388-4","Franz DietrichChristian LöchteSabina JeschkeAnnika Raatz","2012","http://link.springer.com/article/10.1007/s11740-012-0388-4","Article"
"Through the Looking Glass into Digital Space","Conversations About Challenges in Computing","","","","10.1007/978-3-319-00209-5_10","Aslak TveitoAre Magnus Bruaset","2013","http://link.springer.com/chapter/10.1007/978-3-319-00209-5_10","Chapter"
"From Autonomous Vehicles to Safer Cars: Selected Challenges for the Software Engineering","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-33675-1_16","Christian Berger","2012","http://link.springer.com/chapter/10.1007/978-3-642-33675-1_16","Chapter"
